,rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id,gender,salary,tax_rate
21,rec-1485-org,michael,dods,,wilhelmi crescent,cherrymount,young,4504,nsw,19700916.0,2217360,male,40314,0.19
22,rec-2852-org,georgia,white,12.0,tenison-woods circuit,ywurrie,dapto,2195,vic,,2938217,female,34494,0.19
23,rec-707-org,tia,geraghty,52.0,,bindaree,robina,2770,wa,19231201.0,6545434,female,55516,0.19
24,rec-3499-org,brooke,stearnes,44.0,paul coe crescent,aprt 22,mutdapilly,2196,sa,19550918.0,4444208,female,44874,0.19
25,rec-2153-org,liam,karahalios,13.0,severne crescent,devonport vacation vlge,toorak,6026,nsw,19230614.0,7282976,male,40655,0.19
26,rec-1665-dup-2,jamesr,potempa,6.0,max henry crescent,,crib point,3029,sa,19280707.0,3563502,female,45173,0.19
27,rec-35-dup-1,darcy,morrison,36.0,lewis luxton avenue,the mews royal hotel bldg,cooks hill,3108,nsw,19170212.0,6146184,female,45379,0.19
28,rec-78-org,kody,stubbs,31.0,ballumbir street,tulla burra,labrador,3220,nsw,19470214.0,7063753,male,40427,0.19
29,rec-3116-org,james,kulacz,,clermont street,eden park,st ives,2259,qld,19850222.0,7239177,male,40528,0.19
30,rec-3103-org,nasyah,gogel,15.0,herschell circuit,leafleigh,glenmore park,3178,vic,19310714.0,3118939,female,11689,0.0
31,rec-500-org,deakin,byrt,18.0,gosman close,,mulgrave east,2206,vic,19451014.0,6438614,female,29649,0.19
32,rec-3594-org,joel,dixon,9.0,mcclelland avenue,drumwood,newham,6023,nt,19510104.0,3877072,male,41177,0.19
33,rec-3552-org,dillon,whatman,16.0,parkhill street,yalkara,cranbourne,2745,wa,19820605.0,6321289,male,4014,0.0
34,rec-248-org,annabelle,noble,1.0,stenhouse close,the dales,belmont,2470,nsw,19500225.0,7171567,female,45319,0.19
35,rec-2564-org,madeleine,angerson,69.0,morrissey street,cooee,st kilda,3909,sa,19780209.0,8360823,female,45504,0.19
36,rec-386-org,lucas,mccarthy,50.0,nicklin crescent,,bayswater,2144,nsw,19601101.0,5188554,male,39746,0.19
37,rec-847-org,liam,marshal,62.0,gurnai place,sommerset park,jolimont,3215,vic,19700420.0,3211359,male,2308,0.0
38,rec-1425-org,ruby,whiteley,2.0,tadgell place,tressing fields,crows nest,2210,vic,19391216.0,8304397,female,4923,0.0
39,rec-1428-org,,plane,1453.0,beauchamp street,,harbord,3002,nsw,,1828492,None,39685,0.19
40,rec-2376-org,kiara,george,5.0,severne crescent,maybank,woodcroft,4010,nsw,19460525.0,5459008,female,45471,0.19
41,rec-901-org,william,tossell,17.0,lutana street,naranda,craigmore,2500,nsw,19250116.0,5322906,male,39556,0.19
42,rec-833-org,mitchell,mcmellon,84.0,osmand street,executive arcade,toorak,3016,vic,19080412.0,4647270,male,68591,0.19
43,rec-2499-org,jasmine,drechsler,4.0,mahon place,inglewood,belmont,2085,qld,19510302.0,9479653,female,47238,0.19
44,rec-937-org,alisha,stubbs,14.0,mokoan place,st francis vlge,devonport,4157,vic,19750817.0,7300376,female,28651,0.19
45,rec-1372-org,emiily,persing,540.0,rivett street,rp 729,seven hills,4563,vic,19880410.0,9964203,male,59346,0.19
46,rec-3443-org,zarran,bloomfield,51.0,macgregor street,sherwood,lockleys,2766,wa,19000810.0,3202559,female,24602,0.19
47,rec-685-org,madison,hoffman,2.0,evelyn owen crescent,seabrook chambers,highbury,2221,vic,19160108.0,5958443,female,43952,0.19
48,rec-644-org,ainsley,reid,114.0,condamine street,,loftus,2533,vic,19271010.0,1269695,female,62751,0.19
49,rec-1728-org,isobel,stephenson,60.0,wilkins street,blackridge flyfishing school,cobdogla,2168,wa,19370922.0,2692756,female,72669,0.19
50,rec-954-dup-0,elysse,hinchcliff,174.0,alabaste rstreet,,riverwood,2800,sa,19270221.0,3734686,male,39857,0.19
51,rec-209-dup-0,kayla,tu,6.0,chauvel circle,adventist retireemnt village,coleambally,3137,qld,19980329.0,7125552,female,45960,0.19
52,rec-401-org,kyle,sounness,52.0,landells place,wildefell,frankston,5114,nsw,19041116.0,2653028,female,45113,0.19
53,rec-897-org,max,cowell,60.0,pickworth street,warrawong,o'connor,5600,wa,19970409.0,7619744,male,55546,0.19
54,rec-2647-org,alexandra,stosh,87.0,warrumbul street,pioneer lodge,birrong,6100,vic,19491111.0,2617111,female,19842,0.19
55,rec-450-org,fraser,lease,49.0,dryandra street,the mount,ringwood,2759,vic,19940709.0,2516271,male,122868,0.37
56,rec-519-org,tarnee,dixon,213.0,starke street,nioka,eleebana,5091,nsw,19191017.0,6935479,female,45213,0.19
57,rec-444-org,jessica,lowe,4.0,pattinson crescent,grand view,wyoming,2753,nsw,19860916.0,1191526,female,44922,0.19
58,rec-2222-org,mitchell,baillie,43.0,robson street,karingah,williamstown,6062,vic,19701012.0,3971954,male,13095,0.0
59,rec-313-org,hayden,petersen,97.0,slavin place,emerald garden,eastwood,2036,vic,19141112.0,6807594,male,94710,0.37
60,rec-1442-dup-1,erin,paterson,5.0,aspinall street,,albio park,4813,qld,19481126.0,5219471,female,45540,0.19
61,rec-3686-org,heath,dietmayer,31.0,grevillea street,karkatt,adelong,2577,vic,19390817.0,4835083,male,16982,0.0
62,rec-936-org,dylan,armanini,225.0,dominion circuit,cornucopia,burwood,3148,vic,19470102.0,6633066,male,13546,0.0
63,rec-3176-org,emiily,auch-schwelk,179.0,bonython street,medical centre,pimlico,3193,vic,19780218.0,8499263,male,42766,0.19
64,rec-13-org,dean,harrington,30.0,sambell place,the manoa,loganlea,2138,wa,19530516.0,7667197,male,-689,0.0
65,rec-968-org,olivia,goodrum,21.0,kardang street,mawingo,crescent head,4019,wa,19850428.0,7307628,female,20013,0.19
66,rec-2770-org,abbey,araujo,4.0,shean place,,bundaberg,3121,vic,19480506.0,2343595,female,37884,0.19
67,rec-669-org,angelina,cannell,142.0,broadbent street,lewin lodge,hamilton,4207,vic,19320524.0,3236056,female,5394,0.0
68,rec-923-org,,white,301.0,telopea park,glenlee,botany,5010,nsw,19210531.0,2604630,None,39484,0.19
69,rec-3641-org,jessica,reid,280.0,medley street,warra creek,ballarat,3149,nsw,19830907.0,1067529,female,45139,0.19
70,rec-2784-org,casey,samulewicz,121.0,burns circuit,,auburn,5158,nsw,19500320.0,7495965,female,44602,0.19
71,rec-3371-org,jackson,urmonas,121.0,ryrie street,poitrel,ashfield,3192,nsw,19180120.0,4913144,male,40018,0.19
72,rec-651-org,jayden,hingston,116.0,alawa street,longplain,wendouree,3138,qld,19171120.0,6243938,male,39936,0.19
73,rec-3619-org,benjamin,coleman,215.0,southern cross drive,ra 58,loftus,2429,vic,19010401.0,3219120,male,3238,0.0
74,rec-2777-org,caleb,norvill,216.0,batchelor street,summit cottage,kempsey,3073,tas,19090301.0,4708722,male,42237,0.19
75,rec-844-org,matthew,pantazopoulos,51.0,gratwick street,villa 3,wyoming,4405,sa,19400824.0,2440497,male,40247,0.19
76,rec-259-org,bayden,bobroff,3.0,dryandra street,,whyalla,7030,vic,19110115.0,7550689,female,42018,0.19
77,rec-1441-org,shannon,haupt,41.0,fihelly street,rowethorpe,macgregor,4300,sa,19070208.0,8639324,female,44851,0.19
78,rec-723-org,leon,longo,466.0,,lyndon caves,grenfell,6004,sa,19840105.0,4769046,male,39501,0.19
79,rec-1874-org,rory,ikonomou,20.0,nambir court,,orange,3134,vic,19970104.0,6484308,male,3976,0.0
80,rec-1496-org,sachin,bishop,15.0,david street,silverweir,murray bridge,3218,qld,19041212.0,4274548,male,40052,0.19
81,rec-2691-org,harley,bizjak,8.0,roughsey place,conmurra,dover gardens,3043,qld,19671030.0,2461092,male,39818,0.19
82,rec-892-dup-2,jesse,muehlberg,,reuther street,blue hklls,parramatat,3300,qld,19300518.0,6631613,male,41564,0.19
83,rec-2633-dup-0,soph ie,snell,4.0,vaughan garden,arcadia,hahndorf,2372,tas,19231114.0,8638391,male,40539,0.19
84,rec-874-dup-1,peyton,cupo,22.0,mathieson crescent,laughalel farm,camperdown,2233,qld,19950710.0,6865403,male,41242,0.19
85,rec-1378-org,emiily,millar,79.0,bissenberger crescent,berkeley vlge,toowoomba,4350,nsw,19090414.0,2076491,male,40807,0.19
86,rec-891-dup-2,madelne,birchby,7.0,dixonddrive,jestarlei,thornlime,2208,wa,19761231.0,2722141,female,20551,0.19
87,rec-157-org,joel,pride,28.0,brache place,abbotsley cottage,bonnet hill,2219,wa,19590609.0,6441615,male,32685,0.19
88,rec-3574-org,aidan,hague,32.0,goodman street,yambira,avoca beach,4213,qld,19671027.0,6181261,male,41031,0.19
89,rec-984-org,aidan,nicolle,14.0,bennelong crescent,,eatons hill,2259,vic,,4512429,male,32303,0.19
90,rec-63-dup-1,olivia,white,192.0,,shoppingvillage,mirrabooka,2260,vic,19000106.0,4996142,female,94808,0.37
91,rec-106-dup-0,bradley,bishop,14.0,spica street,yakilil park,bamawm,5107,nsw,19420318.0,6888719,male,40244,0.19
92,rec-442-org,lucas,reid,5569.0,greenvale street,glen ayre,tongala,3251,vic,19300702.0,9790835,male,62310,0.19
93,rec-328-org,charlie,apted,16.0,narryer close,compass adjuster hills,armidale,5112,vic,19441211.0,7431139,male,256195,0.45
94,rec-457-org,emmet,rafanelli,,yarra street,section,forest hill,5159,qld,19060720.0,6458332,male,41323,0.19
95,rec-1894-dup-2,ruby,reid,8.0,throsby crdscent,,paralowie,6312,vic,19250929.0,9951759,female,61495,0.19
96,rec-3042-org,isabella,green,21.0,boolee street,upton,katherine,2257,vic,19581016.0,1425927,female,55906,0.19
97,rec-2964-org,tayah,rybak,35.0,morgan crescent,millbay,rochedale south,2800,wa,19070503.0,7314941,male,47381,0.19
98,rec-203-org,lushia,maclennan,18.0,adcock place,kyeema,lismore,6163,vic,19731028.0,1145399,male,26268,0.19
99,rec-2727-org,barnaby,stanley,84.0,pulleine crescent,pine hill,port douglas,3153,vic,19591226.0,8061133,male,38170,0.19
100,rec-294-org,samuel,mahony,132.0,clift crescent,bonnie doon,booval,2152,nsw,19480217.0,4347028,male,39500,0.19
101,rec-2391-org,alexander,schaller,1.0,mclorinan street,hillbyrne,manunda,4051,vic,19050712.0,5516192,male,34431,0.19
102,rec-1178-org,bradley,white,16.0,hammond close,rosetta village,toormina,4169,qld,19210921.0,7769920,male,41463,0.19
103,rec-1166-org,isabelle,pascoe,27.0,hallen close,,williamstown,4670,nsw,19440710.0,4606557,female,45079,0.19
104,rec-243-org,roberta,mcgregor,87.0,strickland crescent,corella,cranbourne,2535,sa,19050306.0,1712881,female,45649,0.19
105,rec-2131-org,dante,dixon,38.0,fullagar crescent,,hoskinstown,2031,vic,19310312.0,4406047,male,35042,0.19
106,rec-236-org,emma,narulla,45.0,narran street,,garbutt,2111,nsw,19690411.0,1806285,female,44924,0.19
107,rec-2889-dup-0,joshua,dinnison,,van praag place,the hom estead,wallan,2360,vic,19660205.0,9606221,male,7948,0.0
108,rec-1388-org,ka,nguyen,66.0,dixon drive,archdale back,warilla,3844,vic,19320525.0,2537118,male,20638,0.19
109,rec-3792-org,jett,monaco,167.0,liversidge street,collier park vlge,,4865,vic,19420721.0,9463229,male,73092,0.19
110,rec-3277-org,lilly,scherf,14.0,may gibbs close,karmont,golden bay,4500,vic,19350921.0,6950881,female,80875,0.19
111,rec-189-org,rachel,boyle,13.0,rosella street,leisure living vlge,seelands,2150,nsw,19900801.0,1167341,female,45281,0.19
112,rec-2627-org,isabella,sloniec,169.0,furneaux street,clear creek,sale,2428,sa,19551123.0,7230441,female,45778,0.19
113,rec-2254-dup-2,sarah,webb,39.0,mcfarlanplace,t int-sec ngarden,coomaleidgup,6023,nsw,19970702.0,8244083,female,44817,0.19
114,rec-3762-org,brooke,reid,143.0,kitchener street,,coffs harbour,3082,vic,19430321.0,7366937,female,73909,0.19
115,rec-1211-org,samir,tomney,61.0,stuart street,mt providence hostel,orange,5280,sa,19591020.0,2113283,male,39875,0.19
116,rec-2765-org,william,stephenson,55.0,grounds crescent,corcoran,vincent,3156,sa,19850408.0,3052898,male,40298,0.19
117,rec-1959-org,mackinley,webb,1.0,baynton street,jarrah rd shopping town,orange,6152,qld,19120930.0,3465838,female,48720,0.19
118,rec-807-dup-0,leo,heyer,3.0,slessors crescent,mt forrest,ormeau,2234,vic,19200228.0,4301865,male,10008,0.0
119,rec-1233-org,kayne,baars,58.0,malcolm place,cornucopia,logan reserve,6210,wa,19151014.0,2604606,male,22805,0.19
120,rec-718-org,emiily,nevin,114.0,duffy street,retirement village,jervois,2798,nsw,19920226.0,5140294,female,45276,0.19
121,rec-3707-dup-1,georgia,dignam,73.0,mccay place,brentwood vlge,daylesford,3216,nsw,,7778628,female,45355,0.19
122,rec-2439-org,hayley,david,30.0,christmas street,brannigans,penrith,5064,qld,19451219.0,7348094,female,45743,0.19
123,rec-2244-org,benjamin,myles,32.0,sheehan street,tricorne (cnr scone r road,birkdale,4304,vic,19271010.0,6431479,male,7388,0.0
124,rec-813-org,luke,portlock,,zincke close,clear creek,margaret river,2320,vic,19530103.0,8473545,male,7680,0.0
125,rec-2109-org,jacob,green,3.0,roper place,moorilla,maryborough,5042,sa,19501221.0,1047185,male,39566,0.19
126,rec-1583-org,stephanie,rundle,13.0,cobb crescent,east lake,manunda,3305,nsw,19681103.0,8292280,female,45306,0.19
127,rec-181-org,luke,poumako,162.0,scratchley place,spring creek,annandale,4370,wa,19491102.0,7225919,male,87557,0.37
128,rec-843-org,hannah,neville,11.0,jaeger circuit,,geelong east,2216,vic,19160830.0,6099546,female,80744,0.19
129,rec-2398-org,benjamin,paterson,19.0,badcoe street,cleveland,kingsford,4124,nsw,19860525.0,1612974,male,39535,0.19
130,rec-3861-org,cooper,lowe,41.0,leahy close,urambi vlge,aldgate,2347,nsw,19790418.0,8155466,male,40086,0.19
131,rec-172-org,hayley,webb,30.0,hodgkinson street,arabian stud kelkette park,pearcedale,4370,nsw,19431020.0,6456768,female,44736,0.19
132,rec-3835-org,alana,reid,56.0,pierces creek,brookfield,burwood east,4101,nsw,19701014.0,3089427,female,45524,0.19
133,rec-2925-dup-3,emiily,lyden,279.0,market town centre,marsden street,cleveland,7268,nsw,19421122.0,5252810,female,45060,0.19
134,rec-3284-dup-0,nicoll,jack,18.0,freda gibso n circuit,tintagel,sanctuary point,2047,tas,19440114.0,4318182,male,39985,0.19
135,rec-3295-org,dylan,angerson,6.0,naismith place,kilnacrott,morwell,2539,vic,19140907.0,1791556,male,36891,0.19
136,rec-3316-org,emma,homann,12.0,mcintyre street,avalyn,fairlight,2462,nsw,19211120.0,4125753,female,45378,0.19
137,rec-466-dup-0,jessica,miles,20.0,maclea ysutreet,grandvview,aubuan,2011,qld,19210108.0,6182257,female,43522,0.19
138,rec-310-org,alisha,coleman,38.0,sugarloaf circuit,ainslie house,jindalee,2220,nsw,19731016.0,6978590,female,44538,0.19
139,rec-3437-org,oliver,matthews,6.0,faunce crescent,,deniliquin,2121,qld,19240911.0,7096945,male,42220,0.19
140,rec-1591-org,brooke,stanley,6.0,alpen street,linvale,latrobe,3148,tas,19610922.0,5995657,female,46142,0.19
141,rec-2496-dup-0,william,fornarino,126.0,macgregor street,,charlesyown,5049,wa,19830402.0,6064420,male,3316,0.0
142,rec-2828-org,william,lupoi,61.0,,albion,eastern creek,6024,qld,19410727.0,3617137,male,40857,0.19
143,rec-848-org,daniel,coffey,26.0,parkhill street,langi,islington,3186,qld,19270224.0,3714025,male,42043,0.19
144,rec-3418-org,flynn,roccatti,36.0,lienhop street,milly milly,st ives,3216,qld,19930619.0,8603121,male,40894,0.19
145,rec-2837-org,elki,trent,27.0,wray place,the mews royal hotel bldg,gawler east,3152,nsw,19600211.0,5679502,male,39657,0.19
146,rec-2152-org,charlotte,webb,98.0,tompsitt court,moriah,wellington point,2077,nsw,19190926.0,1192096,female,45548,0.19
147,rec-596-dup-2,desilva,jasper,15.0,sangster place,cambo oya,broome,3023,wa,19310208.0,1187147,male,9322,0.0
148,rec-258-org,peter,webb,4.0,florentine circuit,oak park,blair athol,4703,nsw,19691212.0,5765170,male,39913,0.19
149,rec-1478-org,william,roling,2.0,mcarthur place,kalang,burpengary,2195,nsw,19690702.0,5873269,male,39543,0.19
150,rec-3829-org,alaiyah,grubb,4.0,higinbotham street,warrumbungle,seacliff,3226,vic,19100321.0,1079455,female,30398,0.19
151,rec-3272-dup-3,trye,held,19.0,kookaburra village,holman street,peregianzbeach,5266,nsw,19520113.0,6176252,female,44730,0.19
152,rec-2961-org,oscar,maynard,186.0,sidaway street,,bligh park,830,wa,19350126.0,9542823,male,26428,0.19
153,rec-2640-org,timothy,hanna,10.0,titheradge place,rosetta village,port macquarie,4740,wa,19740401.0,3449819,male,117078,0.37
154,rec-242-org,lachlan,paine,55.0,sullivan crescent,mount patrick,black hill,4503,vic,19101123.0,6513286,male,2997,0.0
155,rec-3252-org,alexander,reid,54.0,lukin place,,ashfield,2125,tas,19380921.0,5159551,male,42788,0.19
156,rec-3752-dup-0,thomas,tossell,4.0,mcginness street,,adamstown heights,4670,nsw,19690619.0,1062146,male,40793,0.19
157,rec-3606-org,sean,kantamessa,33.0,sheehy street,carrington retrmnt vlge,maryborough,3042,vic,19480229.0,4028468,male,18675,0.19
158,rec-3542-dup-1,kirr,gaskin,15.0,,jodayne,auburn,4034,vic,19010304.0,6678130,male,51269,0.19
159,rec-88-dup-0,neneh,ryan,13.0,morgan c eescent,westport,toowoomba,2106,nsw,19900120.0,3434805,female,44965,0.19
160,rec-1729-org,marcus,mason,166.0,warring place,riversdale caravan park,canterbury,3079,qld,19130226.0,3557171,male,40251,0.19
161,rec-3267-org,caitlin,pulvirenti,373.0,macpherson street,edwards chambers,coffs harbour,4061,vic,19270818.0,1900285,female,20500,0.19
162,rec-1430-dup-1,lowe,alyssa,37.0,howitt street,the meadows,wamberal,5063,nsw,19470626.0,1362480,male,39700,0.19
163,rec-2993-org,silas,puspawata,152.0,castieau street,sunnyspot farm,murray bridge,2204,nsw,19850806.0,9411656,male,40337,0.19
164,rec-3652-org,christian,berry,11.0,chauvel street,mount patrick,mosman,3097,nsw,19220830.0,7641989,male,39984,0.19
165,rec-1855-org,daniele,campbell,11.0,wakefield garden,nazareth village,old beach,3550,sa,19860419.0,2659961,female,44764,0.19
166,rec-1724-org,michael,white,2.0,goodwin street,entwood,korora,6000,nsw,19640706.0,4600379,male,40728,0.19
167,rec-232-org,lily,wilkins,4.0,backhouse street,woorabinda,patterson lakes,3687,vic,19430508.0,3702786,female,35494,0.19
168,rec-232-dup-0,lily,wilkons,52.0,backhouse street,woorabinda,pattersn lakes,3687,vic,19430508.0,3702786,female,9168,0.0
169,rec-1985-org,rhys,snelling,13.0,tauss place,elmwood,kingsville,4573,wa,19850822.0,7043113,male,26404,0.19
170,rec-858-org,chloe,clarke,38.0,blackman crescent,emerald garden,orange,4800,vic,19871218.0,3350579,female,37883,0.19
171,rec-3811-org,charlotte,rogan,1.0,webster street,wayamba,alfred cove,2830,vic,19320125.0,3874442,female,25397,0.19
172,rec-3123-dup-0,james,bastin,36.0,frater crbescent,mlc building,st kilda east,6163,vic,19580628.0,9981914,male,1485,0.0
173,rec-2260-org,brooklyn,green,4.0,,strathlea,lavington,2440,sa,19170916.0,6332816,female,45776,0.19
174,rec-3914-org,delaney,stanley,5.0,cockburn street,rosehill,toowoomba,3395,nsw,19120713.0,6536621,female,45157,0.19
175,rec-1065-org,gabrielle,whiteley,33.0,poole place,kainga,winston hills,4427,nsw,19570527.0,5911980,female,44776,0.19
176,rec-1599-org,michael,bencze,203.0,chauvel street,burrawong park,kilsyth,2146,vic,19440306.0,8871778,male,8232,0.0
177,rec-3833-org,ryleh,brock,106.0,phillip avenue,the yukana retirement village,mulwala,2455,wa,,5358296,male,6853,0.0
178,rec-3872-org,isabella,nguyen,57.0,marshall street,serenity,devonport,2224,nsw,19810516.0,1381879,female,44785,0.19
179,rec-3680-org,brooke,white,53.0,allambee court,amaroo hostel,corrimal,2228,nsw,19030924.0,5721750,female,45000,0.19
180,rec-1356-org,elizabeth,early,5.0,haswell place,baybreeze,pitt town,2754,nsw,19891103.0,7275038,female,45381,0.19
181,rec-3513-org,talia,reid,147.0,sid barnes crescent,tathra,berowra heights,2170,vic,19230203.0,4712927,female,4125,0.0
182,rec-3510-org,mary,mate,6.0,fitchett street,jarkhellms,bribie island,2228,nsw,19540725.0,5151134,female,45027,0.19
183,rec-1662-org,angelica,britten,10.0,wilkins street,argyle village,carlingford,2305,vic,19040116.0,3978249,female,36994,0.19
184,rec-2262-org,kirra,horsley,3.0,pinkerton circuit,swanleigh,cygnet,3199,vic,19260116.0,4306922,female,46255,0.19
185,rec-814-org,sascha,clarke,,perry drive,rockette lodge,south perth,4054,vic,19991011.0,5938504,male,64619,0.19
186,rec-2691-dup-2,harley,jolly,8.0,roughsey place,conmurra,dover gardens,3043,qld,19671030.0,2461092,male,39372,0.19
187,rec-1442-dup-2,erin,paterson,5.0,aspinalls treet,,albion park,4814,qld,19481126.0,5219471,female,44370,0.19
188,rec-1274-org,james,ryan,63.0,light street,tambo,bundamba,3340,vic,19690319.0,7026873,male,-153,0.0
189,rec-704-org,,neumann,82.0,pennington crescent,cooranga,bundaberg,4670,qld,19960124.0,7146875,None,41167,0.19
190,rec-619-org,imogen,white,8.0,glyde place,st 1d,toodyay,7320,qld,19091122.0,1772360,female,45169,0.19
191,rec-3956-org,ruby,wang,19.0,bowser place,lumeah cottage,coffs harbour,3280,wa,19140526.0,2413602,female,7498,0.0
192,rec-2050-org,gabriel,moulton,15.0,lander crescent,courallie,northgate,4217,vic,19450603.0,2754299,male,55036,0.19
193,rec-2234-dup-0,kayne,iliopoulos,46.0,larakiastreet,sec 311,twin hills,5272,nsw,19740323.0,9357401,male,39702,0.19
194,rec-1781-dup-1,laklynn,miles,23.0,bunya close,up the back,barrack point,5074,nsw,,7643501,female,44606,0.19
195,rec-402-org,angelina,nysten,13.0,fleetwood smith street,northcliffe,railton,4868,vic,19181231.0,5506984,female,49496,0.19
196,rec-3495-org,abbey,kasehagen,45.0,oakover circuit,old barn,dundowran,4217,qld,19920102.0,5971073,female,45557,0.19
197,rec-2413-org,mikhayla,eyre,1.0,wilhelmi crescent,thomond,windsor,2063,vic,19050327.0,8766126,female,5750,0.0
198,rec-3923-org,ethan,calantzis,18.0,forsythe street,unt 2,alfred cove,6110,wa,19830710.0,6070168,male,-588,0.0
199,rec-3029-org,ruby,lahey,3.0,paterick place,villa 18,keysborough,3156,nsw,19850208.0,1409341,female,44569,0.19
200,rec-1752-org,matthew,,78.0,maddock place,nyrraby,south brisbane,5076,nsw,19110615.0,6231503,male,40467,0.19
201,rec-2265-org,teresa,hingston,11.0,cornish place,sun city resort,fullarton,2137,nsw,19040317.0,3199768,female,44613,0.19
202,rec-1312-org,dylan,dorrell,43.0,lacey place,belgrano glenalvie,coolum beach,6105,vic,19140927.0,9478617,male,93566,0.37
203,rec-1665-dup-0,oscar,potempa,6.0,ponderossa,max henry crescent,crib point,3029,sa,19280707.0,3563502,male,39585,0.19
204,rec-3707-org,georgia,dignam,66.0,mccay place,brentwood vlge,daylesford,3216,nsw,19660610.0,7778628,female,45709,0.19
205,rec-1445-org,justin,george,27.0,yumba avenue,katherine low leve,forest hill,2530,vic,19850715.0,2885921,male,50007,0.19
206,rec-2119-dup-0,connor,hilton,20.0,mackenzie street,parra ekena,kurri kurri,4701,vic,19510908.0,2641578,male,11083,0.0
207,rec-1785-org,caitlin,stubbs,14.0,appel crescent,burramunda,hinchinbrook,2627,qld,19171120.0,4799616,female,45241,0.19
208,rec-155-org,jory,tyack,21.0,fidge street,john flynn medical centre,modbury heights,4121,nsw,19170713.0,6264802,male,40290,0.19
209,rec-2236-org,tara,mcandrew,12.0,phillip avenue,karsul,ingleburn,2251,vic,19190904.0,2626203,female,16799,0.0
210,rec-3248-org,patrick,jervis,34.0,mcphee place,the old parsonage,stanmore,5125,nsw,19620629.0,8841195,male,40654,0.19
211,rec-2176-org,raquel,clarke,,rechner place,valbella,concord,2600,vic,19100602.0,1814299,female,44689,0.19
212,rec-2645-org,erin,ulrick,37.0,owen dixon drive,north hill medical centre,lakemba,2011,vic,19181026.0,2175121,female,113839,0.37
213,rec-899-org,joel,dimauro,111.0,hingston close,highland grove,landsborough,4741,nsw,19320930.0,9769687,male,40221,0.19
214,rec-3314-dup-0,spratt,jackson,12.0,slight place,oatland s court,beachyere,3219,nsw,19920721.0,1338387,female,45433,0.19
215,rec-1282-dup-0,,blacklow,7200.0,crocker place,inishmore,windradyne,2099,nsw,19690808.0,5390869,None,39928,0.19
216,rec-3857-org,ethan,jessup,8.0,yarrawonga street,,avondale heights,2121,vic,19040618.0,3022934,male,53065,0.19
217,rec-292-org,jackson,volframs,123.0,bemm place,wandana,south melbourne,6725,vic,19880709.0,3939756,male,-305,0.0
