,date,service,soc_sec_number
68,2017-02-06,parking,7201070
69,2018-03-01,parking,3896198
70,2017-09-17,library,5600054
71,2017-07-26,library,4127431
72,2017-05-06,parking,4643174
73,2016-10-28,library,2706494
74,2016-02-12,parking,8270855
75,2016-08-15,library,2878958
76,2017-03-30,parking,3295469
77,2017-01-24,parking,2919332
78,2016-03-28,parking,3881429
79,2018-03-26,parking,6440481
80,2018-02-08,library,7944681
81,2017-09-26,library,2461092
82,2018-03-13,parking,5936180
83,2017-02-06,parking,3118939
84,2017-04-27,parking,7171567
85,2017-09-24,parking,2032650
86,2017-10-19,parking,6090598
87,2017-02-25,library,8652994
88,2016-09-01,library,9618518
89,2018-04-20,library,2292580
90,2016-03-26,parking,4917380
91,2017-07-10,library,4213909
92,2017-07-02,library,2986343
93,2017-11-29,library,3669792
94,2017-12-31,parking,5772925
95,2017-08-20,library,9186463
96,2017-09-06,library,8758918
97,2017-08-22,parking,9030915
98,2016-05-19,parking,3025748
99,2016-04-20,library,8499138
100,2017-10-31,library,5579609
101,2017-05-12,library,2888847
102,2016-10-19,library,3639827
103,2017-11-24,library,9583117
104,2017-04-17,library,1744354
105,2016-07-05,library,7079685
106,2017-07-27,library,4565035
107,2016-09-27,parking,4247781
108,2017-01-19,library,5772676
109,2018-01-19,parking,8230842
110,2016-08-24,parking,5563722
111,2018-03-30,library,7333955
112,2018-04-05,library,5465830
113,2017-02-08,parking,4284271
114,2016-01-01,parking,1105837
115,2017-09-08,library,4314075
116,2017-10-26,library,9950949
117,2016-07-07,library,4437929
118,2017-12-20,library,3919649
119,2018-04-02,parking,3205234
120,2018-03-04,parking,7558116
121,2017-12-14,library,4563495
122,2017-12-08,library,2798365
123,2017-08-12,parking,5434523
124,2016-02-05,parking,7755828
125,2016-06-16,library,1350786
126,2018-03-03,parking,3674664
127,2017-06-23,parking,4181522
128,2017-07-21,parking,9251911
129,2017-07-01,parking,3451799
130,2016-06-26,parking,5212556
131,2017-08-27,parking,3781457
132,2016-10-14,library,6164507
133,2016-07-20,library,4658253
134,2017-12-01,parking,8581017
135,2017-05-14,parking,8270855
136,2017-04-10,library,1461448
137,2017-03-08,parking,9723633
138,2016-02-05,parking,3330344
139,2016-01-20,library,8890472
140,2016-01-14,parking,1908716
141,2016-10-06,library,8389865
142,2017-11-24,parking,3042449
143,2018-01-11,library,5302567
144,2017-07-08,parking,4966069
145,2017-03-31,parking,2406455
146,2016-02-04,parking,8553698
147,2017-11-08,library,3198603
148,2017-11-10,library,3963164
149,2017-05-14,parking,2340122
150,2018-02-07,library,4075656
151,2017-03-01,parking,2281360
152,2017-12-14,parking,9693789
153,2017-12-17,parking,8847803
154,2016-07-25,library,6855850
155,2017-12-01,parking,9239972
156,2017-05-20,parking,6365849
157,2016-10-29,parking,1821597
158,2016-11-13,parking,3849120
159,2016-08-01,library,6888719
160,2017-07-26,parking,7814172
161,2016-06-22,parking,9407706
162,2018-03-12,parking,8116985
163,2018-01-02,parking,5317648
164,2017-04-28,parking,1779856
165,2018-04-21,parking,9238551
166,2017-12-20,library,4726313
167,2016-04-10,parking,9442314
168,2017-04-03,parking,8992284
169,2017-04-16,library,2415228
170,2016-03-27,parking,6484517
171,2018-01-25,parking,8469977
172,2016-07-21,parking,5826548
173,2016-02-23,library,2038934
174,2016-10-17,parking,4242408
175,2017-04-27,parking,6943507
176,2017-12-26,parking,9238551
177,2018-03-12,library,3776252
178,2016-10-10,parking,8729844
179,2016-08-20,parking,6956213
180,2016-07-20,library,3617137
181,2016-05-28,parking,2104348
182,2016-02-01,parking,7885230
183,2017-06-16,library,6160118
184,2016-02-20,library,2275227
185,2016-12-05,library,3856992
186,2017-08-22,library,7605373
187,2016-12-05,library,2629932
188,2016-07-18,parking,1296078
189,2016-03-23,parking,8598579
190,2016-12-23,parking,8241723
191,2016-12-29,parking,9100230
192,2017-04-25,parking,5566832
193,2016-03-18,library,3610168
194,2016-09-26,parking,8270855
195,2016-11-23,parking,5854482
196,2016-11-13,library,1495564
197,2017-08-01,library,1234649
198,2018-02-24,parking,3216021
199,2016-04-06,library,7944681
200,2017-08-25,library,9647713
201,2017-03-30,parking,1633720
202,2017-07-25,library,1707268
203,2017-05-07,parking,2200965
204,2016-11-09,library,8328911
205,2016-07-12,parking,3633596
206,2017-02-10,library,8682466
207,2017-11-27,library,2409913
208,2016-04-09,library,4314473
209,2017-05-18,library,8097376
210,2017-02-26,library,5765135
211,2016-08-26,library,3024874
212,2016-04-01,parking,6920115
213,2016-11-27,parking,8343975
214,2016-12-22,parking,4430199
215,2016-08-16,parking,8503078
216,2017-03-22,library,1350786
217,2017-01-01,library,7268666
218,2017-04-29,library,6986890
219,2016-01-31,parking,5184701
220,2017-06-24,parking,8964398
221,2017-02-21,parking,1806258
222,2016-05-31,parking,6538391
223,2017-04-29,library,7198992
224,2016-01-16,parking,8609698
225,2017-11-01,parking,5188533
226,2016-11-05,library,7623718
227,2016-04-03,library,9533959
228,2016-11-02,parking,6782160
229,2016-05-19,library,4241749
230,2017-02-17,library,9839492
231,2016-01-10,parking,6114411
232,2016-06-01,parking,5230053
233,2016-01-14,library,2014847
234,2016-06-22,parking,3512831
235,2017-06-09,parking,1009128
236,2016-07-30,parking,1506420
237,2017-11-21,library,4217909
238,2016-10-01,library,7867478
239,2016-03-30,library,3825180
240,2016-08-31,parking,3436779
241,2016-01-12,library,7619849
242,2016-11-13,parking,9831971
243,2018-01-11,library,9508954
244,2017-04-21,parking,3108339
245,2016-07-27,parking,8739495
246,2016-12-10,parking,2069851
247,2017-12-13,parking,4125753
248,2017-05-06,library,3744625
249,2018-01-03,library,4501509
250,2017-03-29,library,4076621
251,2017-10-04,library,7558836
252,2018-04-03,parking,7860553
253,2016-06-06,library,8217061
254,2016-11-28,parking,3873443
255,2016-11-09,parking,4486605
256,2017-09-26,library,8871778
257,2016-12-31,library,8783079
258,2016-11-05,parking,6193807
259,2016-03-09,parking,2760893
260,2016-10-31,parking,1977740
261,2016-10-20,parking,9396232
262,2017-06-17,library,5893236
263,2016-09-19,parking,6780411
264,2016-09-10,library,5140294
265,2016-02-24,parking,7680943
266,2017-07-06,library,5530977
267,2017-06-09,library,6173803
268,2016-11-11,parking,2679161
269,2018-01-28,library,1221508
270,2017-06-22,parking,4836569
271,2017-10-23,library,8123431
272,2017-07-25,library,6694647
273,2018-02-02,library,1555493
274,2018-02-05,parking,8352948
275,2016-10-03,library,3584921
276,2017-07-26,parking,3978037
277,2016-11-06,library,7165284
278,2016-06-30,parking,7536088
279,2017-11-08,library,7281865
280,2017-01-10,parking,4320746
281,2016-07-30,library,2986343
282,2018-03-14,parking,3947246
283,2017-10-19,library,4028468
284,2016-05-19,library,5509445
285,2017-11-16,library,2692756
286,2016-07-26,library,7187109
287,2018-01-14,library,1508618
288,2016-06-30,library,6532262
289,2017-07-07,library,5084817
290,2017-10-24,library,2844799
291,2016-01-13,library,1722934
292,2016-12-10,parking,5459823
293,2017-06-14,library,2055591
294,2017-03-02,parking,1638521
295,2016-09-21,library,4203161
296,2017-11-09,parking,5151134
297,2017-12-12,library,8289599
298,2017-05-15,parking,3477661
299,2017-09-16,parking,7864526
300,2017-08-20,parking,6383252
301,2017-05-27,parking,2730623
302,2017-10-05,parking,1994428
303,2017-12-10,parking,4871098
304,2016-06-24,library,8285291
305,2017-05-27,library,9400446
306,2017-02-07,parking,3198603
307,2016-04-19,library,5231365
308,2016-10-22,library,1401782
309,2018-03-23,parking,9786278
310,2017-10-23,parking,5421293
311,2016-03-02,library,8659347
312,2016-11-21,parking,4713939
313,2017-09-06,parking,1517425
314,2016-04-15,library,8085669
315,2018-03-03,library,6704451
316,2016-06-23,parking,6956213
317,2018-02-12,library,2259658
318,2016-12-28,parking,5688834
319,2016-01-16,parking,6025124
320,2016-03-10,parking,2342407
321,2017-08-13,parking,1957863
322,2017-02-21,parking,4444422
323,2016-11-13,parking,5546303
324,2017-07-25,parking,4436636
325,2017-07-14,parking,7539566
326,2016-04-10,library,1404119
327,2017-09-18,library,6495794
328,2017-04-12,parking,4398640
329,2016-03-23,library,9831971
330,2016-01-10,library,6145184
331,2017-06-03,parking,9729101
332,2017-08-22,library,7452814
333,2018-02-18,parking,8406954
334,2016-10-17,parking,5154645
335,2016-03-02,library,4927986
336,2016-08-25,parking,5033370
337,2018-02-16,library,7266607
338,2016-09-07,parking,6318963
339,2017-01-25,parking,4409709
340,2018-01-25,parking,8455371
341,2017-01-29,library,7498683
342,2018-03-30,library,5188591
343,2016-11-22,library,2059611
344,2016-03-17,parking,2413602
345,2018-02-12,parking,6652659
346,2017-05-12,library,8294928
347,2017-05-04,parking,8707883
348,2016-01-21,parking,8964398
349,2016-06-04,library,8970973
350,2017-01-07,parking,9005916
351,2016-01-02,parking,5778844
352,2017-10-27,parking,7418570
353,2017-11-13,library,8598579
354,2017-07-13,parking,7689618
355,2017-06-13,parking,6890560
356,2016-01-31,parking,8009787
357,2017-06-28,library,8112950
358,2016-03-30,library,2435928
359,2018-02-03,library,8255449
360,2016-02-07,library,4242408
361,2017-02-24,library,3257232
362,2017-05-05,library,3060401
363,2016-10-20,library,8931261
364,2016-09-15,parking,5385611
365,2017-01-17,parking,7531797
366,2017-05-20,library,4273815
367,2017-03-09,parking,5530977
368,2016-02-26,library,3001403
369,2017-08-30,library,3947246
370,2018-04-06,library,4514063
371,2016-03-12,parking,5706721
372,2017-02-22,library,7605373
373,2017-01-21,library,9725077
374,2016-11-13,parking,6412533
375,2017-05-24,library,2500824
376,2016-05-23,parking,7034169
377,2018-02-16,library,9968914
378,2017-01-04,parking,8829876
379,2017-02-15,library,4542456
380,2016-09-02,parking,8829105
381,2016-09-21,parking,2264940
382,2016-11-12,parking,5104140
383,2017-01-27,library,1191039
384,2016-04-21,parking,1748975
385,2017-07-28,parking,4633421
386,2017-04-19,library,4818182
387,2017-06-28,library,4922928
388,2017-09-14,parking,1760227
389,2017-04-30,parking,8869813
390,2016-05-18,parking,9005916
391,2018-01-10,parking,4383990
392,2016-01-13,library,3470052
393,2018-02-25,parking,5697323
394,2016-11-24,library,5244486
395,2016-11-29,parking,4370375
396,2017-04-10,library,3888866
397,2016-11-19,library,8352948
398,2017-08-04,library,5159551
399,2017-04-29,parking,3547239
